id,type,name,displayName,relProjectToPlatform,relProjectToApplication,relProjectToBusinessCapability,relProjectToProcess,businessValue,relToChild,relProjectToDataObject,relProjectToInterface,relProjectToITComponent,LevelofEffort,relProjectToObjective,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Type of Work,tags:Business Unit,tags:LX PS WiP,tags:Project Phase,tags:Region,tags:Other tags,relProjectToTechnicalStack,relProjectToUserGroup
cab91af4-1a06-400a-8749-deeff1e55154,Project,IOPS - GLO Nautilus Upgrade - 19C,IOPS - GLO Nautilus Upgrade - 19C,,,IOPS Quality Control,,,,,,,,,,,,QC - Fred,IOPS,,,,6. Planning,,,,
2ce2e5f6-97bf-4f0e-a5e1-cfebdd5f7107,Project,IOPS - GLO Neo4j Graph Database,IOPS - GLO Neo4j Graph Database,,,,,,,,,,,,,,,Process Sciences - Jim,IOPS,,,,,,,,
aa77dccb-6603-486e-bb43-f8c49e640e5f,Project,IOPS - GLO NGS Pipeline Software,IOPS - GLO NGS Pipeline Software,,,IOPS Quality Control / QC Virology,,,,,,,,,,,,QC - Fred,IOPS,,,,,Global,,,
a0c8e12c-f3ff-4319-a967-424b737bb419,Project,IOPS - GLO Notification System,IOPS - GLO Notification System,Notification System,,IOPS Plant Management / Building Automation,,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,Global,,,
bb53650c-7c01-42f3-9303-27c68942df28,Project,IOPS - GLO Nymi Qualification,IOPS - GLO Nymi Qualification,,Nymi Band – Global –  IOPS,IOPS Plant Management / Badge and Access Management,,,,,,,,,,,,Mfg - Ben,IOPS,Project,,,7. Execute,Global,,,IOPS - Mfg
6b6b72b4-4583-4d57-8325-799c2ddb31b0,Project,IOPS - GLO Onsite Contractor Management,IOPS - GLO Onsite Contractor Management,,,IOPS Enterprise Support / Workforce Planning,,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
9497f47f-487f-470b-8c0c-1fa3280bad4b,Project,IOPS - GLO OPM Labels Phase 3,IOPS - GLO OPM Labels Phase 3,,Oracle eBusiness Suite [Platform] / Oracle OPM and Mobile Applications,IOPS Quality Assurance / Document Control,,significantBusinessBenefit,,,,,Low,,,,,Mfg - Ben,IOPS,Project,,,7. Execute,,,,IOPS - Mfg;IOPS - Supply Chain
6c45fd78-28b2-4fdc-8bd0-59967b3fc190,Project,IOPS - GLO OpsTrakker Application Lifecycle Management,IOPS - GLO OpsTrakker Application Lifecycle Management,,,IOPS Quality Assurance / Document Control,,,,,,,,,,,,QA - Rajesh,IOPS,,,,5. Demand Review,,,,
8dac297e-3011-4f5e-b24a-9708a8b42872,Project,IOPS - GLO Plant Bus,IOPS - GLO Plant Bus,,,IOPS Product Manufacturing / Batch Management,,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,US,,,
50ebfa67-99d3-4a1a-bf7d-99811993fd8b,Project,IOPS - GLO Process Sciences Dashboards,IOPS - GLO Process Sciences Dashboards,,,IOPS Product Development / Process Monitoring,,,,,,,,,,,,Process Sciences - Jim,IOPS,,,,,,,,
963a9eb5-0ef1-485c-9ed2-3abdf42049c6,Project,IOPS - GLO ProcessX ITSM Module,IOPS - GLO ProcessX ITSM Module,,,IOPS Enterprise Support / Application Management;IOPS Enterprise Support / Client Services,,,,,,,,,,,,Business Ops - Dave,IOPS,,,,,Global,,,
65529137-a94d-4b06-8824-cecad9af417c,Project,IOPS - GLO Product Lifecycle Management (PLM) Evaluation,IOPS - GLO Product Lifecycle Management (PLM) Evaluation,,Oracle eBusiness Suite [Platform],IOPS Supply Chain Management / Product Lifecycle Management,Create a new Item Master Number (IMN) - Master Data Management,,,,,,,,,,,Supply Chain - Scott,IOPS,,,,1. Surface,Global,,,
e772ab96-b5eb-464a-bfd8-ccd8ab44da32,Project,IOPS - GLO Project/Portfolio Management,IOPS - GLO Project/Portfolio Management,,,IOPS Enterprise Support / Portfolio Mgmt,,,,,,,,,,,,Business Ops - Dave,IOPS,,,,,Global,,,
bb051723-e062-46aa-8cb7-95f47594b036,Project,IOPS - GLO Radiation Monitoring,IOPS - GLO Radiation Monitoring,,,IOPS Plant Management / Environmental Health and Safety (EHS),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
da14f1a7-730a-4fca-b165-81ed02644609,Project,IOPS - GLO Raw Material Release Dashboard,IOPS - GLO Raw Material Release Dashboard,,,IOPS Quality Assurance / Raw Material Disposition,,,,,,,,,,,,Supply Chain - Scott,IOPS,,,,,,,,
e963f29a-fa1c-4f4d-8b66-bb293e0cc992,Project,IOPS - GLO RCM Integration Program,IOPS - GLO RCM Integration Program,,,,,,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Blue Mountain and Timestone Integration;IOPS - GLO RCM Integration Program / IOPS - GLO RCM Compliance Wire Integration;IOPS - GLO RCM Integration Program / IOPS - GLO RCM Oracle Integration;IOPS - GLO RCM Integration Program / IOPS - GLO RCM Softmax Integration;IOPS - GLO RCM Integration Program / IOPS - GLO RCM Veeva Integration,,,,,,,,,,IOPS,,,,2. Shape,,,,
ad71538e-b3ec-434d-9556-134c369ef358,Project,IOPS - GLO RCM Blue Mountain and Timestone Integration,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Blue Mountain and Timestone Integration,,Blue Mountain Regulatory Asset Manager (BMRAM),IOPS Plant Management / Plant Maintenance,,,,,,,,,,,,,IOPS,,,,2. Shape,,,,
bd957bd7-9185-4960-92e0-a62981e31d53,Project,IOPS - GLO RCM Compliance Wire Integration,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Compliance Wire Integration,,,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,,IOPS,,,,2. Shape,,,,
96941084-32b9-408d-b83b-94e01c3d3497,Project,IOPS - GLO RCM Oracle Integration,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Oracle Integration,,Oracle eBusiness Suite [Platform] / Oracle OPM and Mobile Applications;Oracle eBusiness Suite [Platform] / Oracle Order Management and Shipping,IOPS Enterprise Support / Accounting;IOPS Product Manufacturing / Finite Scheduling;IOPS Supply Chain Management / Warehouse Management,,,,,,,Medium,,,,,,IOPS,,,,2. Shape,,,,
5acc8fde-0687-45fd-8dfe-d7794028d265,Project,IOPS - GLO RCM Softmax Integration,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Softmax Integration,,Softmax Pro 7  / GxP Admin,IOPS Quality Control / Lab Data Capture & Mgmt,,,,,,,,,,,,,IOPS,,,,6. Planning,,,,
62306209-c6de-4934-a105-256fe40a6fd6,Project,IOPS - GLO RCM Veeva Integration,IOPS - GLO RCM Integration Program / IOPS - GLO RCM Veeva Integration,,,,,,,,,,,,,,,,IOPS,,,,2. Shape,,,,
f01b26e0-3a9b-4922-816e-de153a53a1bc,Project,IOPS - GLO Realware Headsets APK,IOPS - GLO Realware Headsets APK,,,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,,IOPS,,,,,,,,
61e692cc-9b47-45c7-80df-6cbf207c0c06,Project,IOPS - GLO Regulatory Retention Program Dashboard,IOPS - GLO Regulatory Retention Program Dashboard,,,,,,,,,,,,,,,,IOPS,,,,2. Shape,,,,
5cc4df97-6bc5-437b-9a35-d0767909b756,Project,IOPS - GLO Requirements Management,IOPS - GLO Requirements Management,,,IOPS Product Development / Device Specification Management,,,,,,,,,,,,Process Sciences - Jim,IOPS,,,,,,,,
bedbf9fe-9f6d-4e78-ac92-7921d9564fef,Project,IOPS - GLO SDMS Upgrade,IOPS - GLO SDMS Upgrade,,NuGenesis SDMS,IOPS Quality Control / Lab Data Capture & Mgmt,,,,,,,,IOPS - Keep Existing Systems Operational (Lifecycle Upgrades),,,,QC - Fred,IOPS,LCM,,,7. Execute,Global,,,IOPS - QC
c134448f-aa57-4703-9c6b-af1d15ca76a5,Project,IOPS - GLO Siera GMP Enterprise Data Warehouse Upgrade/Migration,IOPS - GLO Siera GMP Enterprise Data Warehouse Upgrade/Migration,,,IOPS Enterprise Support / Data & Statistical Analysis,,,,,,,,,,,,Business Ops - Dave,IOPS,,,,,,,,
baebe81d-ff7d-4410-8aa2-86387791f3ab,Project,IOPS - GLO Siera Server Upgrade and DR Testing,IOPS - GLO Siera Server Upgrade and DR Testing,,,,,,,,,,Medium,,,,,,IOPS,LCM,,,2. Shape,Global,,,IOPS - Process Sciences
78aa34b5-9c37-42ac-8b95-c6ff22780852,Project,IOPS - GLO SIMCA / SIMCA Online Validation,IOPS - GLO SIMCA / SIMCA Online Validation,,,IOPS Product Development / Process Monitoring,,,,,,,,,,,,Process Sciences - Jim,IOPS,,,,,,,,
daf8717d-5822-40d4-92d5-b4889a8b7600,Project,IOPS - GLO SOA Upgrade / Replacement,IOPS - GLO SOA Upgrade / Replacement,,Oracle eBusiness Suite [Platform] / Oracle OPM and Mobile Applications;PAS-X Manufacturing Execution System (MES) Raheen;PAS-X Manufacturing Execution System (MES) Rensselaer,,,,,,,,High,,,,,,IOPS,Project,,,6. Planning,Global,,,IOPS - Mfg
610c922e-3b66-4886-89d6-d3d39f2598ee,Project,IOPS - GLO Thinglink 3D Videos,IOPS - GLO Thinglink 3D Videos,,,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
